CodUsina;Usina;Vol.Util
1;CAMARGOS;37,72
2;ITUTINGA;0
4;FUNIL GRANDE;0
24;EMBORCACAO;44,89
27;CAPIM BRANCO I;45,79
28;CAPIM BRANCO II;0
25;NOVA PONTE;41,22
156;TRES MARIAS;51,6
134;S, GRANDE;0
10;IGARAPAVA;0
143;AIMORES;0
162;QUEIMADO;45,76
148;IRAPE;52,12
217;ROSAL;0
193;SA CARVALHO;0
141;BAGUARI;0
14;CACONDE;47
18;A, VERMELHA;28,3
37;BARRA BONITA;71,2
40;PROMISSAO;68,3
42;NAVANHANDAVA;0
15;E, CUNHA;0
16;A,S, OLIVEIRA (Limoeiro);0
38;A,S,LIMA (Bariri);0
39;IBITINGA;0
62;TAQUARUCU;0
63;ROSANA;0
52;CANOAS 1;0
51;CANOAS 2;0
47;A,A,LAYDNER (Jurumirim);70,71
49;CHAVANTES;80,25
61;CAPIVARA;99,02
50;L,N,GARCEZ (S,Grande);0
46;P,PRIMAVERA;0
121;PARAIBUNA;27,78
6;FURNAS;58,14
7;M, DE MORAES;76,05
8;L,C,BARRETO (Estreito);0
12;P,COLOMBIA;0
17;MARIMBONDO;41,7
31;ITUMBIARA;47,13
30;CORUMBA I;37,04
251;SERRA DA MESA;55,05
278;MANSO;59,75
123;FUNIL;35,57
129;SIMPLICIO;0
20;BATALHA;20,85
120;JAGUARI;27
287;STO ANTONIO;0
257;P, ANGICAL;27,84
122;SANTA BRANCA;13,4
124;LAJES;84,55
130;ILHA DOS POMBOS;0
131;NILO PECANHA;0
133;PEREIRA PASSOS;0
125;SANTA CECILIA;0
180;TOCOS;0
181;SANTANA;0
182;VIGARIO;0
146;FONTES C;0
147;FONTES AB;0
107;EDGAR DE SOUZA;0
108;TRAICAO;0
109;PEDREIRA;0
117;GUARAPIRANGA;64,29
118;BILLINGS;77,16
119;HENRY BORDEN;0
32;C, DOURADA;0
11;V, GRANDE;0
135;P,ESTRELA;53,01
139;CANDONGA (Risoleta Neves);0
262;SALTO;0
89;GARIBALDI;58,33
144;MASCARENHAS;0
66;ITAIPU;86,57
110;ERNESTINA;92,06
111;PASSO REAL;66,14
112;JACUI;0
113;ITAUBA;0
114;D, FRANCISCA;0
74;G,B,MUNHOZ (Foz do Areia);99
76;SEGREDO (G, Ney Braga);97,9
82;SALTO CAXIAS (Gov, Jose Richa);0
115;G,P,SOUZA (Capivari Cahoeira);78
73;DESVIO DO JORDAO;100
71;St, Clara (PR);100
72;FUNDAO;0
57;JAYME CANET (Maua);98,7
228;COLIDER;0
77;SLT,SANTIAGO;99,13
78;SALTO OSORIO;0
93;PASSO FUNDO;89,97
91;MACHADINHO;94,68
92;ITA;0
252;CANA BRAVA;0
253;SAO SALVADOR;0
267;ESTREITO TOC;0
281;PONTE DE PEDRA;0
9;JAGUARA;0
26;MIRANDA;64,38
86;BARRA GRANDE;90,04
90;CAMPOS NOVOS;96,15
97;CASTRO ALVES;0
98;MONTE CLARO;0
99;14 de JULHO;0
103;FOZ DO CHAPECO;0
169;SOBRADINHO;62,6
172;ITAPARICA (Luiz Gonzaga);78,75
173;MOXOTO (Apolonio Sales);0
174;P,AFONSO 123;0
175;P,AFONSO 4;0
178;XINGO;0
190;B, ESPERANCA;36,63
275;TUCURUI;27,75
272;CURUA-UNA;78,99
279;SAMUEL;9,05
280;COARACY NUNES;0
277;BALBINA;63,66
204;CACHOEIRA CALDEIRAO;0
283;SANTA CLARA MG;0
261;LAJEADO;0
48;PIRAJU;0
249;OURINHOS;0
241;SALTO VERDINHO;0
127;SOBRAGI;0
126;PICADA;0
189;P CAVALO;70,36
304;ITIQUIRA I;0
305;ITIQUIRA II;0
196;GUAPORE;0
195;JAURU;0
95;QUEBRA QUEIXO;90,48
203;CORUMBA III;32,29
154;ITAPEBI;0
310;DARDANELOS;0
83;BAIXO IGUACU;0
229;TELES PIRES;0
29;CORUMBA IV;48,7
94;MONJOLINHO;0
215;SALTO PILAO;0Filtro(df
155;RETIRO BAIXO;11,8
311;CACU;99
312;B, COQUEIROS;0
315;FOZ RIO CLARO (JLM,G,Pereira);0
21;SERRA DO FACAO;29,72
290;ESPORA;20,6
101;SAO JOSE;0
276;RONDON II;37
102;PASSO S JOAO;0
153;SAO DOMINGOS;0
285;JIRAU;0
286;STO ANTONIO DO JARI;0
284;FERREIRA GOMES;0
192;GUILMAN AMORIM;0
230;SAO MANOEL;0
33;SAO SIMAO;31,3
34;ILHA SOLTEIRA;66,47
45;JUPIA;0
43;TRES IRMAOS;70,2
227;SINOP;29,29
88;SAO ROQUE;97,07
288;BELO MONTE;0
314;PIMENTAL;0